route_id,name,stem,status
55804396,Joigny - Auxerre 60km ENG 2026 (T),joigny - auxerre (t),UNCOVERED
32070435,Joigny - Villeneuve-sur-Yonne 47 km ENG 2026,joigny - villeneuve-sur-yonne,UNCOVERED
53491939,Joigny - Villeneuve-sur-Yonne (hilly) 45 km ENG 2026,joigny - villeneuve-sur-yonne (hilly),UNCOVERED
55804337,Joigny - Villeneuve-sur-Yonne 44km ENG 2026 (T),joigny - villeneuve-sur-yonne (t),UNCOVERED
55804434,Joigny - Villeneuve-sur-Yonne 44km ENG 2026 (T),joigny - villeneuve-sur-yonne (t),UNCOVERED
55242871,Kampen - Elburg - Kampen 52km ENG 2026,kampen - elburg - kampen,UNCOVERED
49470402,"Kampen - Harderwijk (via Flevoland, Elburg & Nunspeet) 59 km ENG 2026","kampen - harderwijk (via flevoland, elburg & nunspeet)",UNCOVERED
32199988,Kampen - Reevesluis - Elburg - Harderwijk 62 km ENG 2026,kampen - reevesluis - elburg - harderwijk,UNCOVERED
50375527,Kampen - Schokland (loop) 45 km ENG 2026,kampen - schokland (loop),UNCOVERED
55240707,Kampen - Zwolle - Hattem - Kampen 51 km ENG 2026,kampen - zwolle - hattem - kampen,UNCOVERED
49471436,Karlstadt - Lohr 31 km ENG 2026,karlstadt - lohr,UNCOVERED
54472731,Keukenhof - Beverwijk 34km ENG,keukenhof - beverwijk,UNCOVERED
55924762,Kobern Gondorf - Cochem (via Eltz) 43 km English 2025 (traced),kobern gondorf - cochem (via eltz) (traced),UNCOVERED
55924758,Kobern-Gondorf - Treis-Karden (via Eltz) 34 km ENG 2025 (traced),kobern-gondorf - treis-karden (via eltz) (traced),UNCOVERED
50757084,"Koblenz (city walk, Ehrenbreitstein) 12 km ENG 2026","koblenz (city walk, ehrenbreitstein)",UNCOVERED
50773344,Koblenz (loop) 22 km ENG 2026,koblenz (loop),UNCOVERED
53838296,Kreekrak (east) - Tholen 30 km ENG 2026 (X),kreekrak (east) - tholen (x),UNCOVERED
50554298,Krems - Melk ENG 38 km/24 mi 2026,krems - melk / mi,UNCOVERED
49753703,Krk - Omišalj 40km ENG 2026,krk - omišalj,UNCOVERED
54360744,"Kudelstaart - Royal Flora - Aalsmeerderbrug 8,7 km ENG 2026","kudelstaart - royal flora - aalsmeerderbrug ,",UNCOVERED
42096505,Kwaadmechelen - Hasselt 39 km ENG 2026 (RS),kwaadmechelen - hasselt (rs),UNCOVERED
56125058,Königswinter - Andernach 34km ENG 2026,königswinter - andernach,UNCOVERED
42912969,Køge - Copenhagen Kastellet 59.3km ENG 2024 ,køge - copenhagen kastellet .,UNCOVERED
49322986,Køge - Stevns Klint (loop) 62 km ENG 2026,køge - stevns klint (loop),UNCOVERED
52592882,Køge - Stevns Klint (loop) 72 km ENG 2025,køge - stevns klint (loop),UNCOVERED
46869067,Køge - Viking Museum & Vallo (loop) 35 km ENG 2026,køge - viking museum & vallo (loop),UNCOVERED
54387368,Køge - Viking Museum & Vallo (loop) 46 km ENG 2026,køge - viking museum & vallo (loop),UNCOVERED
54402315,Køge - Viking Museum & Vallo (loop) 39 km ENG 2026,køge - viking museum & vallo (loop),UNCOVERED
55617396,La Voulte-sur-Rhône – Tournon-sur-Rhône 45km ENG 2026,la voulte-sur-rhône – tournon-sur-rhône,UNCOVERED
43278541,Lagny - Paris 37 km ENG 2026,lagny - paris,UNCOVERED
54691487,Le Pouzin - Viviers EV17 42km ENG,le pouzin - viviers ev17,UNCOVERED
34570856,Leeuwarden - Grou 41 km ENG 2026,leeuwarden - grou,UNCOVERED
55887997,Leeuwarden - Grou ** km ENG 2026 ALT,leeuwarden - grou ** km alt,UNCOVERED
53330276,Leiden - Delft - Rotterdam (Coolhaven) 44 km ENG 2026,leiden - delft - rotterdam (coolhaven),UNCOVERED
54360735,Leiden - Gouda 38 km ENG 2026 (white label),leiden - gouda (white label),UNCOVERED
54360736,Leiden - Gouda 46 km ENG 2026 (white label),leiden - gouda (white label),UNCOVERED
52683725,Lemmer - Stavoren 33 km ENG 2025,lemmer - stavoren,UNCOVERED
52683750,Lemmer - Stavoren 43 km ENG 2025,lemmer - stavoren,UNCOVERED
25208723,Lith - Cuijk  54 km ENG 2026,lith - cuijk,UNCOVERED
55216983,Lith - Cuijk  52 km ENG 2026 (alternative),lith - cuijk (alternative),UNCOVERED
44992794,Lith - Den Bosch - Heusden 42 km ENG 2026 (RS),lith - den bosch - heusden (rs),UNCOVERED
55225292,Lochem - Bathmen - Epse - Deventer 41 km ENG 2026,lochem - bathmen - epse - deventer,UNCOVERED
55225320,Lochem - Holterberg - Deventer 65km ENG 2026,lochem - holterberg - deventer,UNCOVERED
55812263,Lohr - Karlstadt - Wurzburg 59km ENG 2026,lohr - karlstadt - wurzburg,UNCOVERED
54993767,Long Sint Maartensvlotbrug - Alkmaar 37 km ENG 2026,long sint maartensvlotbrug - alkmaar,UNCOVERED
44015659,Lovendegem - Sas van Gent 30 km ENG 2026,lovendegem - sas van gent,UNCOVERED
44016357,Lovendegem - Terneuzen 44 km ENG 2026,lovendegem - terneuzen,UNCOVERED
51933657,Lovendegem - Terneuzen 38 km ENG 2026,lovendegem - terneuzen,UNCOVERED
55435392,Lošinj loop 20km ENG 2026,lošinj loop,UNCOVERED
52294298,Lummen - Hasselt (Kanaalkom) 15 km ENG 2026 (RS),lummen - hasselt (kanaalkom) (rs),UNCOVERED
54907335,Maasbracht - Thorn 10 km ENG 2026,maasbracht - thorn,UNCOVERED
54907253,Maastricht - Bilzen (België) - Maastricht 54 km ENG 2026,maastricht - bilzen (belgië) - maastricht,UNCOVERED
54907267,Maastricht - Margraten/Valkenburg - Maastricht  46 km ENG 2026,maastricht - margraten/valkenburg - maastricht,UNCOVERED
55107485,Mains - Oberwesel 57km ENG,mains - oberwesel,UNCOVERED
43310501,Mainz - Rüdesheim (via monastery) 41 km ENG 2026,mainz - rüdesheim (via monastery),UNCOVERED
55924799,Mainz - Rüdesheim (via monastery) 41 km ENG 2026 (traced),mainz - rüdesheim (via monastery) (traced),UNCOVERED
43310487,Mainz - Rüdesheim (via river) 34 km ENG 2026,mainz - rüdesheim (via river),UNCOVERED
51406196,Mainz - Rüdesheim (via winelands) 35 km ENG 2026,mainz - rüdesheim (via winelands),UNCOVERED
53657631,Mainz - Winningen - Burg Eltz - Treis Karden (Via Alken) 36 km ENG 2026,mainz - winningen - burg eltz - treis karden (via alken),UNCOVERED
55924782,Mainz - Winningen - Burg Eltz - Treis Karden (Via Alken) 36 km ENG 2026 (traced),mainz - winningen - burg eltz - treis karden (via alken) (traced),UNCOVERED
55924778,Mainz - Winningen - Burg Eltz - Treis-Karden (Via eltz) 40 km ENG 2026 (traced),mainz - winningen - burg eltz - treis-karden (via eltz) (traced),UNCOVERED
53609433,Mainz- Winningen- Burg Eltz -Treis-Karden 40 km ENG 2025,mainz- winningen- burg eltz -treis-karden,UNCOVERED
53609575,Mainz- Winningen-Burg Thurant -Treis- Karden 36 km ENG 2025,mainz- winningen-burg thurant -treis- karden,UNCOVERED
55597280,Makkum - Franeker - Harlingen (via Bolsward) 45km ENG 2026,makkum - franeker - harlingen (via bolsward),UNCOVERED
49206725,Mali Lošinj Loop 22km ENG 2026,mali lošinj loop,UNCOVERED
49322998,Malmö (loop) 27 km ENG 2026,malmö (loop),UNCOVERED
51000751,Malmö - Lund (loop) 44 km ENG 2026,malmö - lund (loop),UNCOVERED
53399113,Malmö - Lund (loop) 43 km ENG 2026,malmö - lund (loop),UNCOVERED
55435761,Mandre - Rab 62km ENG 2026,mandre - rab,UNCOVERED
49954408,Mandre-Novalja-Lun 33 Km ENG 2026,mandre-novalja-lun,UNCOVERED
55848455,Marktbreit - Schweinfurt 71km ENG 2026,marktbreit - schweinfurt,UNCOVERED
49688759,Marktbreit - Würzburg 30 km ENG 2026,marktbreit - würzburg,UNCOVERED
54393572,Medemblik - Enkhuizen (über Hoorn ) 52 km ENG 2026 (N) Q,medemblik - enkhuizen (über hoorn ) (n) q,UNCOVERED
50942458,Medemblik - Hoorn - Enkhuizen 52 km / 32 mi ENG 2025 (copy),medemblik - hoorn - enkhuizen / mi (copy),UNCOVERED
47177342,Melun (loop) 47 km ENG 2026 (traced),melun (loop) (traced),UNCOVERED
30877904,Melun - Evry 29 km ENG 2026,melun - evry,UNCOVERED
51414792,Melun - Moret (via Barbizon) 47 km ENG 2026,melun - moret (via barbizon),UNCOVERED
54368483,miltenberg – Aschaffenburg 50 km ENG 2026,miltenberg – aschaffenburg,UNCOVERED
54368782,Miltenberg – Aschaffenburg 46 km ENG 2026,miltenberg – aschaffenburg,UNCOVERED
54368487,miltenberg – Aschaffenburg 50 km ENG 2026 (new start),miltenberg – aschaffenburg (new start),UNCOVERED
43199534,Mont-St-Pierre - Epernay (low) 49 km ENG 2026,mont-st-pierre - epernay (low),UNCOVERED
55804391,Montereau - Pont-sur-Yonne 49km ENG 2026 (T),montereau - pont-sur-yonne (t),UNCOVERED
34340215,Montereau - Pont-sur-Yonne (via Misy-sur-Yonne) 34 km ENG 2026,montereau - pont-sur-yonne (via misy-sur-yonne),UNCOVERED
51605671,Montereau - Pont-sur-Yonne (via Misy-sur-Yonne) 41 km ENG 2026,montereau - pont-sur-yonne (via misy-sur-yonne),UNCOVERED
34340228,Montereau - Pont-sur-Yonne (via Voulx) 41 km ENG 2026,montereau - pont-sur-yonne (via voulx),UNCOVERED
54907440,Mook - Grave - Mook 44 km ENG 2026,mook - grave - mook,UNCOVERED
54906299,Mook - Groesbeek - Arnhem 45km ENG 2026,mook - groesbeek - arnhem,UNCOVERED
54907653,Mook - Groesbeek - Arnhem 45km ENG 2026,mook - groesbeek - arnhem,UNCOVERED
55205828,Mook - Groesbeek - Arnhem 45km ENG 2026,mook - groesbeek - arnhem,UNCOVERED
55205804,Mook - Groesbeek - Nijmegen 34 km ENG 2026,mook - groesbeek - nijmegen,UNCOVERED
54907459,Mook - Kleve - Mook  58 km ENG 2026,mook - kleve - mook,UNCOVERED
54907390,Mook - Kranenburg (D) - Nijmegen - Arnhem 55km ENG 2026,mook - kranenburg (d) - nijmegen - arnhem,UNCOVERED
