Row #;Tour (Tour__r.Name);Program;Day;Optie;Doel km;Gematchte CSV route;Verschil (km);Hoogtemeters;Zekerheid
52;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 4: St. Amands – Temse – Antwerp;Optie 1;32;Moerbrugge - Bruges 33 km ENG 2026;1,21;115,3;Laag (niet toegepast)
52;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 4: St. Amands – Temse – Antwerp;Optie 2;49;Antwerp  - Dendermonde (via Waterbus) 42 ENG 2026;0,57;182,3;Hoog
53;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 5: Antwerp – Kreekrak locks | Kreekrak locks – Tholen | Tholen – Willemstad;Optie 1;36;Tholen - Kreekrak (west) 35 km ENG 2026;1,86;152,5;Redelijk
53;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 5: Antwerp – Kreekrak locks | Kreekrak locks – Tholen | Tholen – Willemstad;Optie 2;20;Tholen - Kreekrak (west) 21 km ENG 2026;0,5;45,6;Hoog
54;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 6: Dordrecht – Kinderdijk | Kinderdijk – Schoonhoven – Vreeswijk/Utrecht;Optie 1;32;Schoonhoven - Kinderdijk - Alblasserdam  //  Dordrecht 32 km ENG 2026;0,51;68,9;Hoog
54;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 6: Dordrecht – Kinderdijk | Kinderdijk – Schoonhoven – Vreeswijk/Utrecht;Optie 2;57;Vreeswijk - Kinderdijk - Alblasserdam // Dordrecht 57 km ENG 2026;1,08;144,8;Redelijk
55;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 7: Vreeswijk/Utrecht – Breukelen | Breukelen – Amsterdam;Optie 1;36;Moerbrugge - Bruges 41 km ENG 2026;4,55;201,1;Laag (niet toegepast)
55;Holland and Belgium: Amsterdam - Bruges Premium;Program: Bruges - Amsterdam Medium/Premium MAG;Day 7: Vreeswijk/Utrecht – Breukelen | Breukelen – Amsterdam;Optie 2;46;Antwerpen - Baasrode 45 km ENG 2026;0,83;165,3;Laag (niet toegepast)
58;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 2: Utrecht – Vreeswijk  | Vreeswijk – Schoonhoven – Kinderdijk | Kinderdijk;Optie 1;32;Schoonhoven - Kinderdijk - Alblasserdam  //  Dordrecht 32 km ENG 2026;0,51;68,9;Hoog
58;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 2: Utrecht – Vreeswijk  | Vreeswijk – Schoonhoven – Kinderdijk | Kinderdijk;Optie 2;56;Vianen - Kinderdijk - Alblasserdam //  Dordrecht 57 km ENG 2026;0,88;138,8;Laag (niet toegepast)
59;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 3: Dordrecht – Willemstad | Willemstad – Bergen op Zoom;Optie 1;42;Willemstad - Tholen (via Steenbergen 43 km ENG 2026;0,49;127,5;Redelijk
59;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 3: Dordrecht – Willemstad | Willemstad – Bergen op Zoom;Optie 2;50;Willemstad - Bergen op Zoom (via Tholen) 50 km ENG 2026;0,36;124,4;Hoog
60;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 4: Bergen op Zoom – Kreekrak lock | Kreekrak lock – Antwerp;Optie 1;21;Tholen - Kreekrak (east) 23 km ENG 2026;1,48;49,6;Redelijk
60;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 4: Bergen op Zoom – Kreekrak lock | Kreekrak lock – Antwerp;Optie 2;35;Tholen - Kreekrak (east) 33 km ENG 2026;2,37;146,1;Redelijk
61;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 5: Antwerp – Temse – St. Amands;Optie 1;34;Antwerp - St. Amands (via Waterbus) 30 km ENG 2026;3,52;126,7;Redelijk
61;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 5: Antwerp – Temse – St. Amands;Optie 2;49;Antwerp  - Dendermonde (via Waterbus) 42 ENG 2026;0,57;182,3;Hoog
62;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 6: St. Amands – Dendermonde | Dendermonde – Ghent;Optie 1;52;Antwerp - Dendermonde 53 km ENG 2026;0,9;192,3;Hoog
63;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 7: Ghent – Bruges;Optie 1;22;Aalter-Brug - Bruges 22 km ENG 2026;0,05;76,7;Hoog
63;Holland and Belgium: Amsterdam - Bruges Premium;Program: Amsterdam - Bruges Medium/Premium MAG;Day 7: Ghent – Bruges;Optie 2;45;Dendermonde - Ghent (city) 45 km ENG 2026;0,27;166;Hoog
66;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 2: Vianen – Schoonhoven – Kinderdijk | Kinderdijk – Dordrecht;Optie 1;56;Dordrecht // Alblasserdam - Kinderdijk - Vianen 57 km ENG 2026;0,99;137,1;Hoog
67;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 3:Dordrecht – Tholen | Tholen – Kreekrak lock | Kreekrak lock – Antwerp;Optie 1;20;Kreekrak (west) - Tholen 20 km ENG 2026;0,44;54,6;Hoog
67;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 3:Dordrecht – Tholen | Tholen – Kreekrak lock | Kreekrak lock – Antwerp;Optie 2;36;Kreekrak (west) - Tholen 34 km ENG 2026;1,72;119,8;Redelijk
68;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 4: Antwerp – Temse – Dendermonde;Optie 1;48;Dendermonde - Antwerp (via waterbus) 42+8 km ENG 2026;2,07;174,7;Redelijk
68;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 4: Antwerp – Temse – Dendermonde;Optie 2;64;Dordrecht // Alblasserdam - Urecht [ALT] (centrum) (via Kinderdijk - Roosevelt) 65km;0,98;169,7;Laag (niet toegepast)
69;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 5: Dendermonde – Ghent;Optie 1;52;Dendermonde - Antwerp 52 km ENG 2026;0,32;201,7;Hoog
70;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 6: Ghent – Bruges;Optie 1;45;Tholen - Willemstad (via Oud Vossemeer) 46 km ENG 2026;0,52;107,3;Laag (niet toegepast)
71;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 7: Tour around Bruges to the North Sea;Optie 1;38;Breukelen - Amsterdam (Oosterdok) 38 km ENG 2026;0,05;110,6;Laag (niet toegepast)
71;Holland and Belgium: The Best of Holland and Belgium;Amsterdam - Bruges;Day 7: Tour around Bruges to the North Sea;Optie 2;51;Bruges - Ghent (city) (via Aalter-Brug) 51 km ENG 2026;0,19;151,6;Hoog
73;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 1: Bruges;Optie 1;11;Test ride: Bruges 11 km ENG 2026;0,16;39,7;Hoog
74;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 2: Bruges – Ghent;Optie 1;57;Bruges - Ghent (city) (via Bulskampveld) 57 km ENG 2026;0,41;226,1;Hoog
75;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 3: Ghent – Dendermonde;Optie 1;40;Ghent (Merelbeke) - Dendermonde 39 km ENG 2026;1,37;126;Redelijk
76;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 4: Dendermonde – Antwerp;Optie 1;48;Dendermonde - Antwerp (via waterbus) 42+8 km ENG 2026;2,07;174,7;Redelijk
76;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 4: Dendermonde – Antwerp;Optie 2;63;Schoonhoven - Kinderdijk - Vreeswijk  ENG 62 km 2025;0,74;197,4;Laag (niet toegepast)
77;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 5: Antwerp – Kreekrak locks | Kreekrak locks – Tholen | Tholen – Dordrecht;Optie 1;36;St. Amands - Antwerp (via waterbus) 30+7 km ENG 2026;1,33;124;Redelijk
77;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 5: Antwerp – Kreekrak locks | Kreekrak locks – Tholen | Tholen – Dordrecht;Optie 2;20;Kreekrak (east) - Tholen 23 km ENG 2026;2,45;40,7;Redelijk
78;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 6: Dordrecht – Alblasserdam | Alblasserdam – Kinderdijk – Schoonhoven – Via;Optie 1;57;Dordrecht // Alblasserdam - Kinderdijk - Vianen 57 km ENG 2026;0,01;137,1;Hoog
79;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 7: Vianen – Breukelen | Breukelen – Amsterdam;Optie 1;38;Breukelen - Amsterdam (Oosterdok) 38 km ENG 2026;0,05;110,6;Hoog
79;Holland and Belgium: The Best of Holland and Belgium;Bruges - Amsterdam;Day 7: Vianen – Breukelen | Breukelen – Amsterdam;Optie 2;48;Breukelen - Amsterdam (Oosterdok) 47 km ENG 2026;1,01;148,5;Redelijk
106;Holland: Northern Tour;Program: Northern Tour;Day 2: Zaandam – Zaanse Schans – Alkmaar;Optie 1;44;Volendam - Zaanse Schanse - Amsterdam (Minerva) 42km ENG;0,67;126,5;Laag (niet toegepast)
107;Holland: Northern Tour;Program: Northern Tour;Day 3: Dune tour: round trip from/to Alkmaar | Alkmaar – Den Helder;Optie 1;33;Alkmaar - Dunes (loop via Bergen) 34 km ENG 2026 (N);0,56;164,9;Hoog
107;Holland: Northern Tour;Program: Northern Tour;Day 3: Dune tour: round trip from/to Alkmaar | Alkmaar – Den Helder;Optie 2;40;Alkmaar Polder-Windmill loop 40km ENG;0,18;121,1;Redelijk
108;Holland: Northern Tour;Program: Northern Tour;Day 4: Ferry to North Sea island of Texel: cycling round trips from ‘t Horntje;Optie 1;34;Alkmaar - Hoorn 34 km ENG 2026;0,25;100,4;Laag (niet toegepast)
108;Holland: Northern Tour;Program: Northern Tour;Day 4: Ferry to North Sea island of Texel: cycling round trips from ‘t Horntje;Optie 2;51;Texel (loop ferry) 51 km ENG 2026;0,26;143,3;Hoog
109;Holland: Northern Tour;Program: Northern Tour;Day 5: Den Helder – Stavoren | Southwest Friesland: round trip from/to Stavoren;Optie 1;43;Stavoren (loop) 42 km ENG 2026 (N);0,6;108,1;Hoog
109;Holland: Northern Tour;Program: Northern Tour;Day 5: Den Helder – Stavoren | Southwest Friesland: round trip from/to Stavoren;Optie 2;55;Stavoren (loop) 55 km ENG 2026 (N);0,2;137;Hoog
110;Holland: Northern Tour;Program: Northern Tour;Day 6: Stavoren – Medemblik | Medemblik – Hoorn – Enkhuizen;Optie 1;39;Medemblik - Enkhuizen (via Twisk) 39 km ENG 2026 (N);0,04;104,3;Hoog
110;Holland: Northern Tour;Program: Northern Tour;Day 6: Stavoren – Medemblik | Medemblik – Hoorn – Enkhuizen;Optie 2;51;Hoorn - Enkhuizen (via Medemblik) 51 km ENG 2026;0,18;143,8;Hoog
111;Holland: Northern Tour;Program: Northern Tour;Day 7: Enkhuizen – Volendam | Volendam – Waterland – Amsterdam;Optie 1;28;Volendam - Amsterdam (Minerva) 29 km ENG 2026 (N);1,23;97,9;Redelijk
111;Holland: Northern Tour;Program: Northern Tour;Day 7: Enkhuizen – Volendam | Volendam – Waterland – Amsterdam;Optie 2;50;Zaandam - Volendam 50 km ENG 2025;1,08;167,7;Redelijk
114;Holland: Southern Tour;Program: Southern Tour;Day 2: Amsterdam – Breukelen | Breukelen – Utrecht | Utrecht – Rotterdam;Optie 1;20;Breukelen - Utrecht (Neude) 16km / 10mi ENG 2026;3,74;73,9;Redelijk
114;Holland: Southern Tour;Program: Southern Tour;Day 2: Amsterdam – Breukelen | Breukelen – Utrecht | Utrecht – Rotterdam;Optie 2;39;Gouda - Utrecht 39 km / 24 mi ENG 2026;0,04;98,8;Hoog
115;Holland: Southern Tour;Program: Southern Tour;Day 3: Rotterdam – Schiedam – Delft – Rotterdam;Optie 1;48;Rotterdam - Delft (loop) 49 km / 31 mi ENG 2026;1,59;182,3;Redelijk
116;Holland: Southern Tour;Program: Southern Tour;Day 4: Rotterdam – Alblasserdam (“waterbus”) |   Kinderdijk – (Gouda)Schoonhoven;Optie 1;30;Alblasserdam - Kinderdijk - Gouda  30 km / 19 mi ENG 2026;0,24;85,8;Hoog
116;Holland: Southern Tour;Program: Southern Tour;Day 4: Rotterdam – Alblasserdam (“waterbus”) |   Kinderdijk – (Gouda)Schoonhoven;Optie 2;58;Rotterdam - Kinderdijk - Schoonhoven - Gouda 61 km / 38 mi ENG 2026;2,51;153,8;Redelijk
117;Holland: Southern Tour;Program: Southern Tour;Day 5: Schoonhoven – Oudewater – Utrecht | Utrecht – Haarlem;Optie 1;36;Breukelen - Utrecht (centrum) 36km / 22mi ENG 2026;0,47;114,9;Laag (niet toegepast)
117;Holland: Southern Tour;Program: Southern Tour;Day 5: Schoonhoven – Oudewater – Utrecht | Utrecht – Haarlem;Optie 2;44;Rotterdam - Kinderdijk - Schoonhoven 44 km / 28 mi ENG 2026;0,19;111,6;Redelijk
118;Holland: Southern Tour;Program: Southern Tour;Day 6: Haarlem – North Sea coast – Haarlem | Haarlem – Zaandam;Optie 1;40;Haarlem Haarlem (Spaarndamseweg) - North Sea (loop) 41 km / 25 mi ENG 2026;0,6;210,9;Hoog
118;Holland: Southern Tour;Program: Southern Tour;Day 6: Haarlem – North Sea coast – Haarlem | Haarlem – Zaandam;Optie 2;50;Haarlem Haarlem (Spaarndamseweg) - North Sea (loop) 50 km / 31 mi ENG 2025- North Sea (loop) 50 km / 31 mi ENG 2026;0,11;244,6;Hoog
119;Holland: Southern Tour;Program: Southern Tour;Day 7: Zaandam – Amsterdam;Optie 1;32;Amsterdam (Minerva) - Waterland (loop) 34 km ENG 2026;1,7;132,3;Redelijk
119;Holland: Southern Tour;Program: Southern Tour;Day 7: Zaandam – Amsterdam;Optie 2;53;Zaandam - Amsterdam (Minerva) 54 km / 33 mi ENG 2026;0,72;179,4;Hoog
121;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 1: Amsterdam – Spaarndam | Spaarndam – Haarlem;Optie 1;6;Spaarndam - Haarlem (Spaarndamseweg) 6,7 km ENG 2026;0,66;25,6;Hoog
121;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 1: Amsterdam – Spaarndam | Spaarndam – Haarlem;Optie 2;14;Spaarndam - Haarlem (city) 14 km ENG 2026;0,16;55,9;Hoog
122;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 2: Haarlem – Keukenhof – Leiden;Optie 1;38;Leiden - Gouda 38 km ENG 2026;0,1;112,6;Hoog
123;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 3: Leiden –  Gouda;Optie 1;37;Leiden - Gouda 36 km ENG 2026 Zoeterwoude;0,3;118,5;Hoog
123;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 3: Leiden –  Gouda;Optie 2;43;Gouda - Uithoorn 43 km ENG 2026;0,23;106,6;Hoog
124;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 4: Gouda – Alphen a/d Rijn | Alphen a/d Rijn – Kudelstaart;Optie 1;20;Alphen a/d Rijn - Uithoorn 24 km ENG 2026;4,41;63,2;Redelijk
124;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 4: Gouda – Alphen a/d Rijn | Alphen a/d Rijn – Kudelstaart;Optie 2;44;Leiden - Gouda 46 km ENG 2026;2,46;113,6;Redelijk
125;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 5: Kudelstaart – Flower auction | Aalsmeer – Amsterdam | Amsterdam – Zaanse;Optie 1;9;Spaarndam - Haarlem (city) 8,3 km ENG 2026;0,67;31,4;Laag (niet toegepast)
125;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 5: Kudelstaart – Flower auction | Aalsmeer – Amsterdam | Amsterdam – Zaanse;Optie 2;45;Zaandam - Zaanse Schans - Alkmaar (via Schermer) 45 km ENG 2026;0,16;143,5;Laag (niet toegepast)
126;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 6: Purmerend – Alkmaar;Optie 1;50;Zaandam - Zaanse Schans - Alkmaar (via Egmond) 50 km ENG 2026;0,54;193,1;Hoog
127;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 7: Alkmaar – Amsterdam;Optie 1;37;Purmerend - Alkmaar (via Heiloo) 37 km ENG 2026;0,24;113,1;Hoog
127;Netherlands: 8-day Tulip Tour (Boutique);Program: 8 days regular tulip;Day 7: Alkmaar – Amsterdam;Optie 2;54;Alkmaar - Haarlem (city) 54 km ENG 2026;0,13;250,2;Hoog
137;Netherlands: Amsterdam - Maastricht or v.v.;Program: Amsterdam - Maastricht;Day 1: Amsterdam – Weesp | testride in Weesp;Optie 1;11;Test ride: Maastricht 12 km ENG 2026;0,83;66,2;Laag (niet toegepast)
138;Netherlands: Amsterdam - Maastricht or v.v.;Program: Amsterdam - Maastricht;Day 2: Weesp – Utrecht | Utrecht – Vianen;Optie 1;47;Gorinchem - Vianen 49 km ENG 2026 (alternative);2,08;133,2;Redelijk
139;Netherlands: Amsterdam - Maastricht or v.v.;Program: Amsterdam - Maastricht;Day 3: Vianen – Gorinchem | Gorinchem – Heusden;Optie 1;41;Gorinchem - Vianen 42 km ENG 2026;0,73;106,7;Hoog
140;Netherlands: Amsterdam - Maastricht or v.v.;Program: Amsterdam - Maastricht;Day 4: Heusden – Lith | Lith – Cuijck;Optie 1;40;Schoonhoven - Oudewater - Utrecht 45 km / 28 mi ENG 2026;4,63;113,9;Laag (niet toegepast)
141;Netherlands: Amsterdam - Maastricht or v.v.;Program: Amsterdam - Maastricht;Day 5: Cuijck – Arcen;Optie 1;53;Arcen - Cuijk 55 km ENG 2026;2,36;244,4;Redelijk
142;Netherlands: Amsterdam - Maastricht or v.v.;Program: Amsterdam - Maastricht;Day 6: Arcen – Venlo – Roermond;Optie 1;50;Roermond - Venlo 50 km ENG 2026;0,31;253;Hoog
143;Netherlands: Amsterdam - Maastricht or v.v.;Program: Amsterdam - Maastricht;Day 7: Roermond – Born | Born – Maastricht;Optie 1;42;Schipperskerk - Roermond 41 km ENG 2026;1,4;185,4;Redelijk
145;Netherlands: Amsterdam - Maastricht or v.v.;Program: Maastricht - Amsterdam;Day 1: Maastricht;Optie 1;6;Avondwandeling Maastricht 3,3 KM - extra;2,67;22,9;Redelijk
146;Netherlands: Amsterdam - Maastricht or v.v.;Program: Maastricht - Amsterdam;Day 2: Maastricht – Born | Born – Roermond;Optie 1;40;Schipperskerk - Roermond 41 km ENG 2026;0,6;185,4;Hoog
147;Netherlands: Amsterdam - Maastricht or v.v.;Program: Maastricht - Amsterdam;Day 3: Roermond – Venlo – Arcen;Optie 1;50;Roermond - Venlo 50 km ENG 2026;0,31;253;Hoog
148;Netherlands: Amsterdam - Maastricht or v.v.;Program: Maastricht - Amsterdam;Day 4: Arcen – Cuijk;Optie 1;53;Cuijk - Lith  54 km ENG 2026 (deviations 2026);1;150,8;Hoog
149;Netherlands: Amsterdam - Maastricht or v.v.;Program: Maastricht - Amsterdam;Day 5: Cuijk – Oss | Oss – Heusden;Optie 1;40;Schoonhoven - Oudewater - Utrecht 45 km / 28 mi ENG 2026;4,63;113,9;Laag (niet toegepast)
150;Netherlands: Amsterdam - Maastricht or v.v.;Program: Maastricht - Amsterdam;Day 6: Heusden – Gorinchem | Gorinchem – Vianen;Optie 1;41;Gorinchem - Vianen 42 km ENG 2026;0,73;106,7;Hoog
151;Netherlands: Amsterdam - Maastricht or v.v.;Program: Maastricht - Amsterdam;Day 7: Vianen – Breukelen | Breukelen – Amsterdam;Optie 1;42;Breukelen - Amsterdam (Oosterdok) 47 km ENG 2026;4,99;148,5;Redelijk
153;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 1: Bruges;Optie 1;22;Bruges - Damme (loop) 22 km ENG 2026;0,56;79,6;Hoog
154;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 2: Bruges ­– Moerbrugge | Moerbrugge – Ghent;Optie 1;52;Ghent (Merelbeke) - Oudenaarde (via Ghent City & Deinze) 51 km ENG 2026;0,65;243,4;Hoog
154;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 2: Bruges ­– Moerbrugge | Moerbrugge – Ghent;Optie 2;58;Bruges - Ghent (city) (via Bulskampveld) 57 km ENG 2026;1,41;226,1;Redelijk
155;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 3: Ghent ­– Oudenaarde;Optie 1;51;Bruges - Ghent (city) (via Aalter-Brug) 51 km ENG 2026;0,19;151,6;Hoog
156;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 4: Oudenaarde­ – Doornik (Tournai);Optie 1;42;Oudenaarde - Tournai (flat) ENG 42 km 2026;0,21;126,2;Hoog
156;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 4: Oudenaarde­ – Doornik (Tournai);Optie 2;51;Oudenaarde - Tournai (hill) ENG 51 km 2026;0,19;435,4;Hoog
157;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 5: Doornik (Tournai) – Bleharies | Bleharies – Pont Malin | Pont Malin – Arl;Optie 1;50;Bléharies - Pont-Malin 50 km ENG 2026;0,26;180,4;Hoog
157;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 5: Doornik (Tournai) – Bleharies | Bleharies – Pont Malin | Pont Malin – Arl;Optie 2;54;Bléharies - Pont-Malin (via Lewarde) 54 km ENG 2026;0,01;229,8;Hoog
158;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 6: Arleux – Havrincourt;Optie 1;40;Arleux - Havrincourt (via Canal St-Quentin) 40 km ENG 2026;0,55;236,9;Hoog
158;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 6: Arleux – Havrincourt;Optie 2;53;Arleux - Havrincourt (via Vaucelles) 53 km ENG 2026;0,06;427,8;Hoog
159;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 7: Havrincourt – Péronne;Optie 1;45;Ytres - Péronne 45 km ENG 2026;0,44;300,3;Hoog
159;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 7: Havrincourt – Péronne;Optie 2;53;Ytres - Péronne 53 km ENG 2026;0,31;348,1;Hoog
161;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 9: Péronne – Épénancourt | Épénancourt  – Noyon – Pont l’Évêque;Optie 1;52;Péronne - Pont-l'Évêque 52 km ENG 2026;0,12;265,8;Hoog
162;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 10: Pont l’Évêque – Compiègne;Optie 1;37;Pont-l'Évêque - Compiègne 37 km ENG 2026;0,45;231,3;Hoog
162;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 10: Pont l’Évêque – Compiègne;Optie 2;46;Pont-l'Évêque - Compiègne (via Attichy) 46 km  ENG 2026;0,04;267,3;Hoog
163;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 11: Compiègne – Pont-St-Maxence;Optie 1;54;Compiègne - Pont-Sainte-Maxence 54 km ENG 2026;0,33;380,1;Hoog
164;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 12: Pont-St-Maxence – Beaumont | Beaumont – Auvers-sur-Oise;Optie 1;45;Auvers-sur-Oise - Paris (Bougival) (via Ax Majeur) 44 km ENG 2026 rain route;0,65;296;Hoog
164;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 12: Pont-St-Maxence – Beaumont | Beaumont – Auvers-sur-Oise;Optie 2;59;Pont-Ste-Maxence - Chantilly - Auvers-sur-Oise 59 km ENG 2026;0,34;426,1;Hoog
