file,path,paragraphs,tables,chars,error
Sas van Gent Rondje.docx,Information about a tour 2026\Semi-Guided_ Holland & België\Alternatives\Sas van Gent Rondje.docx,24,0,4426,
Terneuzen Kunst op de Boulevard.docx,Information about a tour 2026\Semi-Guided_ Holland & België\Alternatives\Terneuzen Kunst op de Boulevard.docx,5,0,230,
Terneuzen Stadswandeling ‘Spiekbriefje’.docx,Information about a tour 2026\Semi-Guided_ Holland & België\Alternatives\Terneuzen Stadswandeling ‘Spiekbriefje’.docx,14,0,2966,
Terneuzen Stadswandeling.docx,Information about a tour 2026\Semi-Guided_ Holland & België\Alternatives\Terneuzen Stadswandeling.docx,62,0,13442,
Draaiboek Adam - Brugge Fluvius 2024.docx,Information about a tour 2026\Semi-Guided_ Holland & België\old\Draaiboek Adam - Brugge Fluvius 2024.docx,311,8,38111,
Draaiboek Adam - Brugge Semi-Guided 2025.docx,Information about a tour 2026\Semi-Guided_ Holland & België\old\Draaiboek Adam - Brugge Semi-Guided 2025.docx,346,8,42221,
Draaiboek Brugge - Adam Semi-Guided 2025.docx,Information about a tour 2026\Semi-Guided_ Holland & België\old\Draaiboek Brugge - Adam Semi-Guided 2025.docx,320,8,37679,
Draaiboek Koblenz - Koblenz 2025 semi_.docx,Information about a tour 2026\Semi-Guided_ Koblenz-Koblenz\Old\Draaiboek Koblenz - Koblenz 2025 semi_.docx,296,8,42938,
Draaiboek Koblenz - Koblenz 2026.docx,Information about a tour 2026\Semi-Guided_ Koblenz-Koblenz\Old\Draaiboek Koblenz - Koblenz 2026.docx,522,10,46266,
Alkmaar geschiedenis.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Alkmaar geschiedenis.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Amsterdam geschiedenis.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Amsterdam geschiedenis.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Enkhuizen.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Enkhuizen.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Franeker.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Franeker.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Gaasterland.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Gaasterland.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Harlingen.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Harlingen.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Medemblik.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Medemblik.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
NOORDROUTE_toeristische info.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\NOORDROUTE_toeristische info.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Rembrandt.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Rembrandt.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Texel.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Texel.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Volendam stadswandeling .docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Volendam stadswandeling .docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Volendam.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Semi-Guided_ Northern Tour\Touristic information\Volendam.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
"2.0 PD UPDATE JULI 24, Draaiboek Noordroute 2024.docx","Information about a tour 2026\Semi-Guided_ Northern Tour\old\2.0 PD UPDATE JULI 24, Draaiboek Noordroute 2024.docx",490,8,61880,
Draaiboek Noordroute 2025(1).docx,Information about a tour 2026\Semi-Guided_ Northern Tour\old\Draaiboek Noordroute 2025(1).docx,409,8,65722,
Draaiboek Noordroute 2025.docx,Information about a tour 2026\Semi-Guided_ Northern Tour\old\Draaiboek Noordroute 2025.docx,408,8,67725,
Draaiboek Zuidroute 2026 DAM-vs1-BK.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Stadsplattegronden\Draaiboek Zuidroute 2026 DAM-vs1-BK.docx,460,8,56553,
Amsterdam geschiedenis.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Toeristische informatie\Amsterdam geschiedenis.docx,90,0,29140,
Delft stadswandeling.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Toeristische informatie\Delft stadswandeling.docx,6,0,1947,
Delft.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Toeristische informatie\Delft.docx,63,0,17519,
Delfts blauw.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Toeristische informatie\Delfts blauw.docx,49,0,15027,
Oudewater.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Toeristische informatie\Oudewater.docx,24,0,9170,
Utrecht.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Toeristische informatie\Utrecht.docx,74,0,27079,
Vecht Breukelen Loenen Weesp.docx,Information about a tour 2026\Semi-Guided_ Southern tour\Toeristische informatie\Vecht Breukelen Loenen Weesp.docx,29,0,4583,
Draaiboek Zuidroute 2025 ARK (1)(1).docx,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK (1)(1).docx,429,8,62413,
Draaiboek Zuidroute 2025 ARK (1).docx,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK (1).docx,429,8,62411,
Draaiboek Zuidroute 2025 ARK (2).docx,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK (2).docx,429,8,63834,
Draaiboek Zuidroute 2025 ARK.docx,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 ARK.docx,392,8,53214,
Draaiboek Zuidroute 2025 DAM.docx,Information about a tour 2026\Semi-Guided_ Southern tour\old\Draaiboek Zuidroute 2025 DAM.docx,397,8,54936,
input basic sustainable talk English.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\input basic sustainable talk English.docx,32,0,3580,
sustainable talk Claire d_etoile.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Claire d_etoile.docx,20,0,2467,
sustainable talk Flora.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Flora.docx,27,0,3249,
sustainable talk Fluvius.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Fluvius.docx,28,0,3350,
sustainable talk Gandalf.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Gandalf.docx,24,0,3029,
sustainable talk Lamar.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Lamar.docx,24,0,3082,
sustainable talk Lena Maria.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Lena Maria.docx,30,0,3541,
sustainable talk Princesse Royal.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Princesse Royal.docx,27,0,3354,
sustainable talk River Cruises Holding.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk River Cruises Holding.docx,20,0,2865,
sustainable talk Sarah.docx,Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Sarah.docx,21,0,2655,
sustainable talk Tallship company Atlantis and Antiqua.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Sustainability Talk 2026 tourguides\English Version 2026\sustainable talk Tallship company Atlantis and Antiqua.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
