route_id,name,tour,program,day,option,language,match_status,source_row,day_desc,option_raw,target_km,diff_km,elev_m,confidence,applied
49297091|53899205|53899252,Abbeville - Saint-Valery (loop) 68 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,2,2,EN,ambiguous,1602,Day 2: Abbeville – Saint-Valéry-sur-Somme – Abbeville,Optie 2,68.0,0.07,360.7,Hoog,True
50029518|53899206,Abbeville - Long 57 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,3,1,EN,ambiguous,1603,Day 3: Abbeville – Long,Optie 1,57.0,0.54,375.7,Hoog,True
50029634|53899208,Long - Samara 39 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,4,1,EN,ambiguous,1604,Day 4: Long – La Breilloire | La Breilloire – Samara,Optie 1,39.0,0.49,358.8,Hoog,True
50029821|53899209,Samara - Amiens 16 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,5,1,EN,ambiguous,1605,Day 5: Samara – Amiens,Optie 1,16.0,0.39,87.5,Hoog,True
50029963|53899210,Amiens - Corbie 28 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,6,1,EN,ambiguous,1606,Day 6: Amiens – Corbie,Optie 1,28.0,0.02,213.5,Hoog,True
50029949|53899211,Amiens - Corbie (via Moreuil) 52 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,6,2,EN,ambiguous,1606,Day 6: Amiens – Corbie,Optie 2,52.0,0.08,448.0,Hoog,True
50030734|53899212,Corbie - Cappy 44 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,7,1,EN,ambiguous,1607,Day 7: Corbie – Cappy,Optie 1,44.0,0.2,343.5,Hoog,True
50030721|53899213,Corbie - Cappy (via Thiepval) 54 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,7,2,EN,ambiguous,1607,Day 7: Corbie – Cappy,Optie 2,54.0,0.25,431.8,Hoog,True
50030812|53899214,Frise - Péronne - Ytres 41 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,8,1,EN,ambiguous,1608,Day 8: Cappy – Péronne – Havrincourt,Optie 1,41.0,0.37,333.5,Redelijk,True
49434555|53899215,Havrincourt - Douai 47 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,9,1,EN,ambiguous,1609,Day 9: Havrincourt – Douai,Optie 1,47.0,0.18,234.5,Hoog,True
50031097|53899216,Havrincourt - Cambrai - Douai 61 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,9,2,EN,ambiguous,1609,Day 9: Havrincourt – Douai,Optie 2,61.0,0.24,328.8,Hoog,True
50031485|53899217,Douai - Lille 50 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,10,1,EN,ambiguous,1610,Day 10: Douai – Lille,Optie 1,50.0,0.16,209.1,Hoog,True
50031384|53899218,Douai - Lille (via Lens) 65 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,10,2,EN,ambiguous,1610,Day 10: Douai – Lille,Optie 2,65.0,0.32,306.7,Hoog,True
50040474|53899219,Comines - Kortrijk - Harelbeke 39 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,12,1,EN,ambiguous,1612,Day 12: Lille – Comines | Comines – Kortrijk – Harelbeke,Optie 1,39.0,0.23,179.3,Hoog,True
50032598|53899221,Comines - Kortrijk - Harelbeke (via Tyne Cot) 53 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,12,2,EN,ambiguous,1612,Day 12: Lille – Comines | Comines – Kortrijk – Harelbeke,Optie 2,53.0,0.27,269.8,Hoog,True
49440887|53899222,Harelbeke - Oudenaarde - Deinze 57 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,13,1,EN,ambiguous,1613,Day 13: Harelbeke – Deinze,Optie 1,57.0,0.4,310.4,Hoog,True
49434614|53899223,Deinze - Bruges 46 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,14,1,EN,ambiguous,1614,Day 14: Deinze – Bruges,Optie 1,46.0,0.15,222.5,Hoog,True
49434619|53899224,Deinze - Bruges 63 km ENG 2026,Through Flanders Fields and along the Somme,Program Abbeville - Bruges,14,2,EN,ambiguous,1614,Day 14: Deinze – Bruges,Optie 2,63.0,0.02,298.2,Hoog,True
55680104|55915923,Tholen - Antwerpen 55km DEU 2026,Through Europe’s Heartland: between Amsterdam and Paris,Tour program: Amsterdam - Paris,4,1,DE,ambiguous,1620,Day 4: Into Belgium – Willemstad to Antwerp,Optie 1,56.0,2.67,267.4,Laag (niet toegepast),False
53846187|53853120,Bruges - Damme (loop) 22 km DEU 2026,Through Europe’s Heartland: between Amsterdam and Paris,Tour program: Amsterdam - Paris,7,1,DE,ambiguous,1623,Day 7: Into Bruges – Ghent to Bruges,Optie 1,22.0,0.41,83.0,Hoog,True
53846187|53853120,Bruges - Damme (loop) 22 km DEU 2026,Through Europe’s Heartland: between Amsterdam and Paris,Tour Program: Paris - Amsterdam,6,1,DE,ambiguous,1634,Day 6: Crossing borders – Antwerp to Dordrecht,Optie 1,22.0,0.41,83.0,Laag (niet toegepast),False
53677237|53851702,Dordrecht // Alblasserdam - Kinderdijk - Schoonhoven 32 km DEU 2026,Through Europe’s Heartland: between Amsterdam and Paris,Tour Program: Paris - Amsterdam,7,1,DE,ambiguous,1635,Day 7: Windmills and silversmiths – Dordrecht to Schoonhoven,Optie 1,32.0,0.4,84.3,Hoog,True
53437609|53516736|53516818,Day 4 (2/2): Luxor East Bank,Egypt & The Nile – A Journey to Ancient wonders,Egypt & The Nile,4,1,,ambiguous,1656,Day 4: Luxor East Bank,Optie 1,26.0,3.62,60.2,Redelijk,True
