ZAANDAM - VOLENDAM    51.1 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechts abbiegen auf Nicolaasstraat
  ★ 23.1 km  [ferry] Ferry 't Schouw — ca € 0,50 pp Cash Only !
   23.1 km   Scharf links abbiegen auf Kanaaldijk (follow 3.6 km)
   26.7 km   Rechts halten auf Broekermeerdijk
   26.7 km   Leicht rechts abbiegen auf Broekermeerdijk
   26.9 km   Links abbiegen auf Dorpsstraat
  ★ 27.0 km  [food] De Witte Swaen — Pancake, Restaurant, Café
   27.3 km   Links abbiegen auf Kerkplein
   27.4 km   Rechts abbiegen auf Roomeinde
   27.8 km   Rechts abbiegen auf Doctorandus. J. van Disweg
   28.3 km   Links abbiegen auf Keerngouw
   29.1 km   Links abbiegen auf Overlekergouw
   29.7 km   Rechts abbiegen (follow 1.4 km)
   31.2 km   Rechts abbiegen auf Overleek (follow 2.1 km)
   33.2 km   Scharf links abbiegen
   33.2 km   Links abbiegen
  ★ 33.3 km  [note] tunnel
   33.4 km   Rechts halten
   33.4 km   Leicht rechts abbiegen auf Bernhardlaan
   33.5 km   Links halten auf Bernhardlaan
   33.5 km   Rechts abbiegen auf Bernhardlaan
   34.1 km   Scharf rechts abbiegen
   34.1 km   Links halten
   34.2 km   Rechts halten auf Zuideinde
   34.2 km   Rechts abbiegen auf 't Prooyen
   34.3 km   Links abbiegen auf 't Prooyen
  ★ 34.5 km  [see] Bruine Vloot — Wooden transport sailing ships of the Brown Fleet
   34.6 km   Links abbiegen auf Gooische Kaai
  ★ 34.6 km  [restroom] Public Restroom
   34.7 km   Rechts abbiegen auf Damsluis
  ★ 34.8 km  [coffee] Monnickendam — Various cafés
   34.8 km   Rechts abbiegen auf Noordeinde
   35.4 km   Rechts halten auf Nieuwendam (follow 5.7 km)
   41.0 km   Rechts abbiegen auf Kathammerzeedijk
   41.2 km   Leicht rechts abbiegen auf Zuideinde
   41.3 km   Links halten auf Zuideinde
   41.5 km   Rechts abbiegen auf Zuideinde
   41.5 km   Links abbiegen auf Zuideinde
   41.8 km   Dem Straßenverlauf von Zuideinde folgen
   42.1 km   Links halten auf Haven (follow 1.7 km)
  ★ 42.3 km  [note] Volendam Harbour — Still fishing Harbour
   43.9 km   Links halten auf Morseweg
   43.9 km   Rechts abbiegen auf Julianaweg
   44.0 km   Dem Straßenverlauf von Zeedijk folgen (follow 1.9 km)
  ★ 45.7 km  [note] Fortress
   45.9 km   Rechts abbiegen auf Keetzijde
   46.4 km   Scharf rechts abbiegen auf Oosterkade
   46.5 km   Links abbiegen auf Voorhaven
   47.2 km   Dem Straßenverlauf von Spui folgen
  ★ 47.2 km  [coffee] Damhotel  Restaurant
  ★ 47.2 km  [note] The Story of Edam — Experience about the history of Edam cheese. Entrance ca € 8,= pp. Incl your and cheese tasting.
   47.6 km   Links abbiegen
   47.7 km   Links halten auf Singelweg
   47.8 km   Rechts abbiegen auf Singelweg
   47.8 km   Links abbiegen auf Singelweg
   48.0 km   Dem Straßenverlauf von Dijkgraaf Poschlaan folgen
   48.3 km   Rechts halten auf Dijkgraaf Poschlaan
   48.5 km   Rechts halten auf Dijkgraaf Poschlaan
   48.5 km   Rechts halten auf Dijkgraaf Poschlaan
   48.6 km   Leicht rechts abbiegen auf Dijkgraaf Poschlaan
   48.7 km   Rechts halten auf Dijkgraaf Poschlaan
   48.7 km   Im Kreisverkehr Ausfahrt 3 auf Dijkgraaf Poschlaan nehmen
   49.1 km   Scharf links abbiegen
   49.4 km   Rechts halten auf Jupiterlaan
   49.5 km   Links abbiegen
   49.5 km   Links abbiegen
   49.6 km   Leicht rechts abbiegen auf Jupiterlaan
   49.9 km   Rechts halten
   49.9 km   Links abbiegen
   50.0 km   Links abbiegen
   50.0 km   Rechts abbiegen auf Herculeslaan
   50.3 km   Rechts halten
   50.3 km   Links abbiegen
   50.3 km   Links abbiegen
   50.4 km   Leicht rechts abbiegen auf Zeestraat
   50.5 km   Links abbiegen auf Dwarsstraat
   50.5 km   Rechts abbiegen auf Zeestraat
   50.7 km   Rechts abbiegen auf Haven
   50.9 km   Links abbiegen
  ★ 51.1 km  [dock/stay] Mooring Volendam De Dijk
