ROTTERDAM - KINDERDIJK - GOUDA - NIEUWPOORT    58.7 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [ferry] Ferry to Kinderdijk
   49.1 km   Rechts abbiegen auf Oost-Vlisterdijk (follow 3.0 km)
   52.1 km   Leicht rechts abbiegen auf Slangeweg
   52.1 km   Links abbiegen auf Bonrepas (follow 2.4 km)
   54.6 km   Links abbiegen auf Opweg
   54.6 km   Rechts abbiegen auf Vlisterweg
   55.1 km   Leicht links abbiegen auf H.A. Schreuderstraat
   55.2 km   Rechts abbiegen auf Meester Kesperplein
   55.2 km   Links abbiegen auf C.G. Roosweg
   55.3 km   Rechts abbiegen auf Pleinweg
   55.6 km   Links abbiegen auf Uitdragersstraat
   55.8 km   Rechts abbiegen auf Kerkstraat
   55.9 km   Rechts abbiegen auf Koestraat
   56.0 km   Rechts abbiegen auf Uitdragersstraat
   56.6 km   Links abbiegen auf Tol
   56.6 km   Rechts abbiegen auf Veerstraat
   56.7 km   Rechts halten auf Buiten de Veerpoort
   56.7 km   Links abbiegen auf Buiten de Veerpoort
   56.8 km   Scharf rechts abbiegen auf Buiten de Veerpoort, N216
   57.1 km   Rechts halten auf Veerstoep
   57.2 km   Links abbiegen auf Schoonhovenseveer (follow 1.2 km)
   58.4 km   Links abbiegen auf Schippersweg
   58.6 km   Rechts abbiegen auf Buitenhaven
   58.6 km   Leicht rechts abbiegen auf Het Hoofd
