ZAANDAM RONDRIT    47.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Aanlegplaats Zaandam Theater
  ★ 22.3 km  [coffee] Café Wapen van Ilpendam — from 11 h
  ★ 22.3 km  [coffee] Café Wapen van Ilpendam — Open vanaf 11 uur
   22.3 km   Rechtsaf naar Aalduikerweg
   22.3 km   Rechtsaf naar Dorpsstraat
   22.6 km   Blijf op Monnickendammerrijweg (follow 1.2 km)
   23.8 km   Rechtsaf naar Overleek (follow 3.6 km)
   27.4 km   Rechtsaf (follow 1.4 km)
   28.8 km   Linksaf naar Overlekergouw
   29.4 km   Rechtsaf naar Keerngouw
   30.2 km   Rechtsaf naar Doctorandus. J. van Disweg
   30.7 km   Linksaf naar Noordmeerweg
   31.2 km   Linksaf naar Kerkplein
   31.2 km   Rechtsaf naar Havenrak
  ★ 31.5 km  [food] Restaurant Witte Swaen — Pannenkoeken !
   31.6 km   Rechtsaf naar Jaagweg
  ★ 31.6 km  [note] Broek in Waterland
   31.8 km   Houd rechts aan naar Broekermeerdijk (follow 3.6 km)
   35.4 km   Ga rechtsaf naar Slochterweg
  ★ 35.4 km  [ferry] Veerpontje 't Schouw — ca € 1,= pp (contant betalen)
   35.5 km   Rechtsaf naar Kanaaldijk
   36.0 km   Linksaf naar Van Beekstraat (follow 2.6 km)
   38.6 km   Rechtsaf naar Dorpsstraat
  ★ 38.6 km  [bar] Landsmeer, Cafés
   38.8 km   Linksaf naar Sportlaan
  ★ 38.8 km  [bar] De Driesprong
   39.0 km   Houd rechts aan naar Sportpark
   39.1 km   Houd links aan naar Sportpark
   39.7 km   Rechtsaf naar Het Luijendijkje
   40.2 km   Linksaf naar Het Luijendijkje
  ★ 40.3 km  [see] Twisker Molen — Lees de borden over de geschiedenis van de molen.
   40.4 km   Houd links aan
   40.6 km   Rechtsaf
   40.7 km   Linksaf naar Pikpotweg
   40.9 km   Linksaf
   41.2 km   Houd links aan naar De Zuiderlaaik
   41.8 km   Rechtsaf naar Zuideinde
   42.6 km   Linksaf naar Kerkstraat
  ★ 42.6 km  [bar] Borrelz Gastrobar — Open vanaf 14 uur
   43.6 km   Houd rechts aan naar Kerkstraat
   44.1 km   Houd rechts aan naar Weerpad
   44.1 km   Rechtsaf
   44.2 km   Rechtsaf naar Poelenburg
   44.5 km   Linksaf naar Clusiusstraat
   45.1 km   Rechtsaf naar De Weer
   45.1 km   Linksaf naar Blooksven
   45.3 km   Rechtsaf naar Dominee Martin Luther Kingweg
   45.7 km   Linksaf naar Walraven van Hallstraat
   45.9 km   Houd rechts aan
   46.0 km   Houd rechts aan
   46.0 km   Houd rechts aan naar Kepplerstraat
   46.2 km   Ga rechtdoor
   46.3 km   Houd rechts aan naar H Gerhardstraat
   46.5 km   Linksaf naar Peperstraat
   46.8 km   Rechtsaf
   46.8 km   Linksaf
   46.9 km   Linksaf
   46.9 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
   47.0 km   Houd rechts aan naar A.F. de Savornin Lohmanstraat
   47.1 km   Linksaf naar A.F. de Savornin Lohmanstraat
   47.2 km   Ga linksaf naar A.F. de Savornin Lohmanstraat
   47.4 km   Houd links aan
   47.5 km   Linksaf
