HUIZEN - CRAILOO - AMSTERDAM (MINERVA)    49.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Aanlegplaats Huizen
  ★ 48.1 km  [dock/stay] Aanlegplaats Oosterdok
  ★ 48.2 km  [dock/stay] Aanlegplaats De Ruijterkade Oost
   48.5 km   Voor aanlegplaats DE RUIJTERKADE OOST ga rechtsaf; voor de andere aanlegplaatsen ga rechtdoor.
  ★ 49.0 km  [bike_parking] Fietsenstalling ondergronds — Bewaakt en gratis
  ★ 49.0 km  [bike_parking] Fietsenstalling ondergronds — Bewaakt en gratis
   49.0 km   Rechtsaf naar Pontplein
  ★ 49.0 km  [dock/stay] Aanlegplaats De Ruijterkade West
  ★ 49.0 km  [dock/stay] Aanlegplaats Westerdoksdijk
  ★ 49.0 km  [dock/stay] Aanlegplaats Minervahaven
  ★ 49.0 km  [note] Knooppunt 05
  ★ 49.0 km  [note] Bus 48 naar Centraal Station
  ★ 49.0 km  [note] Rondvaartsteiger
  ★ 49.0 km  [finish] Einde van de reis
   49.1 km   Rechtdoor de pont op, Buiksloterwegveer, F3
  ★ 49.1 km  [ferry] Veer F3 to Buiksloterweg / Tolhuistuin — gratis
  ★ 49.2 km  [see] Museum Eye
  ★ 49.4 km  [dock/stay] Aanlegplaats Distelweg
  ★ 49.4 km  [bar] Café Restaurant
  ★ 49.4 km  [note] This is Holland Multimedia
   49.4 km   Houd rechts aan naar Buiksloterweg
   49.5 km   Scherpe bocht naar links naar Buiksloterweg
  ★ 49.5 km  [dock/stay] Aanlegplaats Buiksloterweg
