HAARLEM (STADT) - KEUKENHOF - LEIDEN (DURCH DÜNEN)    50.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Bakenessergracht
  ★ 9.9 km  [coffee] De Wachtkamer — Guter Apfelkuchen!
   10.2 km   Rechts halten auf Vogelenzangseweg
   10.3 km   Links abbiegen auf Vogelenzangseweg
  ★ 10.4 km  [coffee] Café Vogelenzang
   10.5 km   Rechts halten auf Vogelenzangseweg
   11.0 km   Scharf rechts abbiegen auf Vogelenzangseweg
   11.0 km   Rechts abbiegen auf Bekslaan
   11.4 km   Links abbiegen auf Tweede Doodweg (follow 1.6 km)
  ★ 11.7 km  [coffee] Restaurant 't Pannenland
   13.0 km   Scharf links abbiegen auf Margrietenlaan
   13.4 km   Rechts abbiegen
   13.4 km   Rechts abbiegen auf Noorder Leidsevaart
   13.5 km   Scharf rechts abbiegen auf Noorder Leidsevaart (follow 2.0 km)
   15.5 km   Links abbiegen auf Beeklaan
   16.1 km   Leicht rechts abbiegen auf 3e Loosterweg
  ★ 16.8 km  [coffee] The Tulip Barn
   17.1 km   Rechts abbiegen auf Veenenburgerlaan (follow 2.7 km)
   19.8 km   Links abbiegen
   20.4 km   Links abbiegen
   20.4 km   Rechts abbiegen
  ★ 20.4 km  [bike_parking] Keukenhof Fahrradparkplatz
  ★ 20.4 km  [note] Haupteingang Keukenhof
   20.4 km   Links abbiegen
   20.5 km   Rechts abbiegen auf Stationsweg
   20.8 km   Dem Straßenverlauf von Stationsweg folgen (follow 1.3 km)
   22.1 km   Scharf links abbiegen auf Leidsevaart
   22.1 km   Rechts abbiegen
   23.0 km   Leicht links abbiegen auf Tespellaan
   23.2 km   Leicht rechts abbiegen auf Tespellaan
   23.8 km   Scharf rechts abbiegen auf Oosterduinen
   24.1 km   Scharf rechts abbiegen auf Oosterduinen
   24.2 km   Links abbiegen
   24.9 km   Links abbiegen auf Duinschooten (follow 1.2 km)
   26.2 km   Rechts abbiegen auf Langevelderlaan
   26.3 km   Scharf links abbiegen auf Langevelderlaan
   27.0 km   Dem Straßenverlauf von Kapelleboslaan folgen
   27.1 km   Rechts abbiegen auf Noraweg
   27.3 km   Links abbiegen
   27.5 km   Rechts abbiegen auf Rijwielpad Boswachterij Noordwijk, Provinciaal Fietspad 1 (follow 2.7 km)
  ★ 29.3 km  [bar] Beach Restaurant De Zeespiegel
   30.2 km   Links halten auf Rijwielpad Boswachterij Noordwijk, Provinciaal Fietspad 1 (follow 1.1 km)
   31.3 km   Rechts abbiegen auf Verlengde Bosweg (follow 1.2 km)
   32.5 km   Dem Straßenverlauf von Bosweg folgen
   32.9 km   Rechts abbiegen auf Koningin Wilhelmina Boulevard
  ★ 33.0 km  [see] Noordwijk Strand
   33.8 km   Rechts abbiegen auf De Grent
   34.0 km   Rechts abbiegen auf Rudolf Tappenbeckweg (follow 1.2 km)
   35.2 km   Rechts abbiegen auf Koningin Astrid Boulevard
   35.2 km   Rechts abbiegen auf Rijwielpad Coepelduynen (follow 2.9 km)
   38.1 km   Leicht rechts abbiegen auf KNRM-pad
   38.1 km   Links halten auf KNRM-pad
   38.1 km   Links abbiegen auf Kanaaldijk (follow 1.4 km)
  ★ 38.1 km  [bar] Strand Restaurant Willy Noord
   39.5 km   Leicht rechts abbiegen auf Biltpad
   39.7 km   Rechts halten auf Biltpad
   39.9 km   Rechts abbiegen auf Biltpad
   40.2 km   Dem Straßenverlauf von Zeilmakerstraat folgen
   40.4 km   Links halten auf Zeilmakerstraat
   40.4 km   Rechts abbiegen auf Zeilmakerstraat
   40.4 km   Dem Straßenverlauf von Ambachtsweg folgen
   40.9 km   Leicht links abbiegen auf Lageweg
   41.1 km   Rechts abbiegen auf Lijnbaanstraat
   41.2 km   Leicht links abbiegen auf Steenbakkerstraat
   41.2 km   Leicht rechts abbiegen auf Ververstraat
   41.7 km   Links abbiegen auf Kanaalpad Noordwest
   42.0 km   Rechts abbiegen
   42.3 km   Rechts abbiegen auf Kanaalpad Noordoost (follow 1.2 km)
   43.6 km   Rechts abbiegen
   43.8 km   Rechts abbiegen auf Haarlemmerstraatweg
   43.9 km   Links abbiegen auf Jan van Gilsepad
   44.1 km   Leicht rechts abbiegen auf Johan Wagenaarlaan
   44.2 km   Rechts abbiegen auf Johan Wagenaarlaan
   44.3 km   Links abbiegen auf Kees van Baarenlaan
   44.3 km   Rechts abbiegen auf Kees van Baarenlaan
   44.4 km   Im Kreisverkehr Ausfahrt 1 auf Boerhaaveplein nehmen
   44.5 km   Links abbiegen auf Queridolaan
   44.7 km   Rechts abbiegen auf Martinus Nijhofflaan
   44.8 km   Rechts abbiegen
   45.1 km   Links abbiegen auf President Kennedylaan
   45.6 km   Rechts halten auf President Kennedylaan
   45.7 km   Links abbiegen auf Abtspoelweg (follow 1.2 km)
   46.9 km   Leicht rechts abbiegen auf Haarlemmertrekvaart
   47.5 km   Dem Straßenverlauf von Haarlemmerweg folgen
   47.5 km   Rechts halten auf Haarlemmerweg
   47.8 km   Rechts halten auf Haarlemmerweg
   48.1 km   Links halten auf Groenoordsplein
   48.2 km   Dem Straßenverlauf von Haarlemmerweg folgen
   48.6 km   Links abbiegen auf Maresingel
  ★ 48.6 km  [note] Leiden
   49.4 km   Dem Straßenverlauf von Herensingel folgen
  ★ 50.2 km  [dock/stay] Liegeplatz Leiden
